switch_delay_s,task,level,x_m,feature,value,limit,fatal,reason
0,jump_on_and_off_box,0,1,step_up_m,0.18,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,1.06,step_up_m,0.18,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,1.16,step_up_m,0.18,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,1.26,step_up_m,0.18,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,1.36,step_up_m,0.18,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,1.46,step_up_m,0.18,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,1.55999,step_up_m,0.18,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,1.65997,step_up_m,0.18,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,3.65503,step_up_m,0.225,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,3.75503,step_up_m,0.225,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,3.85503,step_up_m,0.225,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,3.95503,step_up_m,0.225,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,4.05503,step_up_m,0.225,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,4.15503,step_up_m,0.225,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,4.25503,step_up_m,0.225,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,4.35503,step_up_m,0.225,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,6.25646,step_up_m,0.27,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,6.35643,step_up_m,0.27,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,6.4564,step_up_m,0.27,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,6.55638,step_up_m,0.27,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,6.65635,step_up_m,0.27,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,6.75632,step_up_m,0.27,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,6.85629,step_up_m,0.27,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,6.95627,step_up_m,0.27,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,9.04983,step_up_m,0.33,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,9.06982,step_up_m,0.33,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,9.16977,step_up_m,0.33,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,9.26972,step_up_m,0.33,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,9.36967,step_up_m,0.33,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,9.46963,step_up_m,0.33,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,9.56958,step_up_m,0.33,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,9.66953,step_up_m,0.33,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,9.76948,step_up_m,0.33,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,11.8098,step_up_m,0.355,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,11.8697,step_up_m,0.355,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,11.9697,step_up_m,0.355,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,12.0696,step_up_m,0.355,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,12.1696,step_up_m,0.355,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,12.2695,step_up_m,0.355,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,12.3695,step_up_m,0.355,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,12.4694,step_up_m,0.355,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,12.5694,step_up_m,0.355,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,14.6053,step_up_m,0.44,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,14.6652,step_up_m,0.44,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,14.765,step_up_m,0.44,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,14.8649,step_up_m,0.44,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,14.9647,step_up_m,0.44,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,15.0645,step_up_m,0.44,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,15.1644,step_up_m,0.44,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,15.2642,step_up_m,0.44,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,15.364,step_up_m,0.44,0.15,True,step taller than the jump can reach
0,jump_on_and_off_box,0,16.9697,gap_m,0.05,0,False,"gap wider than any jump in the library can clear, but narrower than the fore-aft foot span - it may be steppable; FOOT_SPAN_X is CALIBRATION_NEEDED"
0,jump_on_and_off_box,0,17.0657,gap_m,0.15,0,False,"gap wider than any jump in the library can clear, but narrower than the fore-aft foot span - it may be steppable; FOOT_SPAN_X is CALIBRATION_NEEDED"
0,jump_on_and_off_box,0,17.1617,gap_m,0.25,0,False,"gap wider than any jump in the library can clear, but narrower than the fore-aft foot span - it may be steppable; FOOT_SPAN_X is CALIBRATION_NEEDED"
0,jump_on_and_off_box,0,17.2576,gap_m,0.35,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,17.3576,gap_m,0.45,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,17.4576,gap_m,0.55,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,17.5575,gap_m,0.65,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,17.6575,gap_m,0.75,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,17.7575,gap_m,0.85,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,17.8574,gap_m,0.85,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,17.9574,gap_m,0.85,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,18.0573,gap_m,0.85,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,18.1573,gap_m,0.85,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,18.2573,gap_m,0.85,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,18.3572,gap_m,0.85,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,18.4572,gap_m,0.85,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
0,jump_on_and_off_box,0,18.5572,gap_m,0.85,0,True,gap crossing needs a jump with forward velocity; no skill in the library has one
